entity,country,indigenous_to_name,indigenous_to_entity,latitude,longitude,location_entity,location_name
Q28395,Ivory Coast,Lacs District,Q20980363,,,,
Q28395,Ivory Coast,Lagunes District,Q20980365,,,,
Q28395,Ivory Coast,Zanzan District,Q21003689,,,,
Q28395,Ghana,Western Region,Q870155,,,,
Q28433,,,,26.5833333333,94.6666666667,,
Q28433,India,,,,,,
Q28433,India,Assam,Q1164,,,,
Q28433,India,Nagaland,Q1599,,,,
Q2736980,,,,0.0,-54.0,,
Q2736980,Brazil,,,,,,
Q2736980,Brazil,Amapá,Q40130,,,,
Q2736980,Brazil,Pará,Q39517,,,,
Q56306,,,,27.5,93.75,,
Q56306,India,,,,,,
Q56306,India,Arunachal Pradesh,Q1162,,,,
Q56306,India,Assam,Q1164,,,,
Q56306,India,Nagaland,Q1599,,,,
Q2858311,,,,-5.5,-48.0,,
Q2858311,Brazil,,,,,,
Q2858311,Brazil,Maranhão,Q42362,,,,
Q2858311,Brazil,Tocantins,Q43695,,,,
Q2859081,,,,-9.0,-67.0,,
Q2859081,Brazil,,,,,,
Q2859081,,Apurinã people,Q963221,,,,
Q2859081,Brazil,Amazonas,Q40040,,,,
Q2859081,Brazil,Mato Grosso,Q42824,,,,
Q2591221,,,,-2.0,-75.1666666667,,
Q2591221,Peru,,,,,,
Q2591221,Peru,Loreto,Q200938,,,,
Q4783889,,,,-2.75,119.25,,
Q4783889,Indonesia,,,,,,
Q4783889,Indonesia,Sulawesi,Q3812,,,,
Q4783889,Indonesia,West Sulawesi,Q5082,,,,
Q4790560,Papua New Guinea,,,,,,
Q4790560,Papua New Guinea,Oro Province,Q753686,,,,
Q56556,Uganda,,,,,,
Q56556,Uganda,Yumbe District,Q1362587,,,,
Q2863482,,,,-5.38333333333,147.05,,
Q2863482,Papua New Guinea,,,,,,
Q2863482,Papua New Guinea,Morobe Province,Q853664,,,,
Q2863482,Papua New Guinea,Madang Province,Q326254,,,,
Q2863482,Papua New Guinea,Oro Province,Q753686,,,,
Q2863483,,,,-10.25,161.333333333,,
Q2863483,Solomon Islands,,,,,,
Q2863483,Solomon Islands,Makira-Ulawa Province,Q1116700,,,,
Q3501809,,,,-4.41666666667,144.916666667,,
Q3501809,Papua New Guinea,,,,,,
Q3501809,Papua New Guinea,Madang Province,Q326254,,,,
Q3437230,Peru,,,,,,
Q3437230,Peru,Asháninka people,Q726665,,,,
Q3437230,Brazil,Asháninka people,Q726665,,,,
Q3437230,Peru,Apurímac,Q208185,,,,
Q3437230,Peru,Ayacucho,Q205112,,,,
Q3437230,Peru,Cusco Departament,Q205057,,,,
Q3437230,Peru,Junín,Q207973,,,,
Q3437230,Peru,Ucayali,Q207424,,,,
Q3450481,,,,-10.6666666667,-74.25,,
Q3450481,Peru,,,,,,
Q3450481,Peru,Junín,Q207973,,,,
Q3450481,Peru,Pasco,Q211208,,,,
Q3450481,Peru,Ucayali,Q207424,,,,
Q3450601,Peru,,,,,,
Q7190661,Peru,,,,,,
Q7190661,Peru,Pasco,Q211208,,,,
Q7190661,Peru,Ucayali,Q207424,,,,
Q12627315,Philippines,,,,,,
